price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
132500,polystar 40 inch smart curved led tv,Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-40-inch-smart-curved-led-tv-free-wall-bracket-76676884.html,0.0,40,fhd,led,no
132399,"amani 43"" inches smart led tv",Amani,vision gas,86,https://www.jumia.com.ng/amani-43-inches-smart-led-tv-wi-fi-98480206.html,1.5,43,fhd,led,no
168500,hisense 43” smart frameless tv,Hisense,Real EmmyGod Store,50,https://www.jumia.com.ng/hisense-43-smart-frameless-tvnetflixyoutube-app-191004742.html,0.0,43,fhd,,no
109895,hisense 32” smart frameless tv,Hisense,ELECTROPLUG,66,https://www.jumia.com.ng/hisense-32-smart-frameless-tvnetflixyoutube-app-203428339.html,0.0,32,fhd,,no
124000,"polystar 32"" inch smart curved tv",Polystar,POLYSTAR DEALER STORE,100,https://www.jumia.com.ng/polystar-32-inch-smart-curved-tv-with-netflix2year-warranty-79945034.html,0.0,32,uhd,led,no
180000,"hisense 43"" inches smart hisense tv",Hisense,3C* HUB ELECTRONICS,100,https://www.jumia.com.ng/hisense-43-inches-smart-hisense-tv-free-wall-bracket-2022-model-85914469.html,0.0,43,fhd,,no
180000,"hisense 43"" inches smart hisense tv",Hisense,URCHMAN Bestprice Electronics,0,https://www.jumia.com.ng/hisense-43-inches-smart-hisense-tv-free-wall-bracket-2022-model-45517744.html,0.0,43,fhd,,no
350000,"panasonic 43"" led  andriod smart tv",Panasonic,Bestprice Technologies Ltd,100,https://www.jumia.com.ng/panasonic-43-led-andriod-smart-tv-134095021.html,0.0,43,hd,led,yes
109500,hisense 32” smart frameless tv,Hisense,ELECTROPLUG,66,https://www.jumia.com.ng/hisense-32-smart-frameless-tvnetflixyoutube-app-133952459.html,0.0,32,fhd,,no
133000,"infinity 43"" smart tv",Infinity,Super Saver Mall,94,https://www.jumia.com.ng/infinity-43-smart-tv-wall-hanger-netflix-youtube-promo-123025231.html,0.0,43,fhd,led,no
144000,polystar 40 inches android smart curved tv,Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-40-inches-android-smart-curved-tv-98919755.html,0.0,40,hd,,yes
210290,"vision 55""inches smart android tv",Vision,cydone gas,74,https://www.jumia.com.ng/vision-55inches-smart-android-tv-vision-83982177.html,0.0,55,uhd,,yes
195000,"itel 43"" inches android smart tv",itel,Bestprice Technologies Ltd,100,https://www.jumia.com.ng/itel-43-inches-android-smart-tv-121162108.html,0.0,43,uhd,,yes
100000,"polystar 32"" inch smart curved tv",Polystar,Prosmira Ltd,74,https://www.jumia.com.ng/polystar-32-inch-smart-curved-tv-with-netflix-1year-warranty-82815625.html,0.0,32,uhd,led,no
147300,hisense 40” smart frameless tv,Hisense,Samsung and Sony online store,66,https://www.jumia.com.ng/hisense-40-smart-frameless-tvnetflixyoutube-121527529.html,0.0,40,fhd,,no
114000,"amani 40""inches smart led tv",Amani,ELO GLOBAL,60,https://www.jumia.com.ng/amani-40inches-smart-led-tv-218500823.html,0.0,40,fhd,led,no
557801,"vision 65”""inches smart android tv",Vision,cydone gas,74,https://www.jumia.com.ng/vision-65inches-smart-android-tv-vision-122114528.html,0.0,65,uhd,,yes
118990,"polystar 32"" inch smart curved led tv",Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-32-inch-smart-curved-led-tv-wall-brack-69528142.html,4.5,32,uhd,led,no
155999,hisense 40” smart frameless tv,Hisense,ELECTROPLUG,66,https://www.jumia.com.ng/hisense-40-smart-frameless-tvnetflixyoutube-app-133952834.html,5.0,40,fhd,,no
